category,national_position,position_evolution,company_name,billing,company_link,Denominación,Objeto Social,Domicilio Social,Localidad,Teléfono,Otros Teléfonos,Fax,Forma Jurídica,Página Web,Otras Webs,Marcas,Actividad
4724,452.212,32.869,PANADERIA LOS GEMELOS S.L.,pequeña,https://ranking-empresas.eleconomista.es/PANADERIA-GEMELOS.html,Panaderia Los Gemelos S.l.,"Distribución y venta al por menor de pan, bollos, pasteles, golosínas, así como la comercialización de todo tipo de productos de alimentación y bebidas, incluidas alcoholicas. La fabricación, elaboración y venta de pan, bollos, pasteles y golosinas","CALLE SANTO DOMINGO , 44 - BJ",VITORIA-GASTEIZ,92242...,,,Sociedad limitada unipersonal,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,471.467,60.766,PASTELERIA DANTZARI SL,pequeña,https://ranking-empresas.eleconomista.es/PASTELERIA-DANTZARI.html,Pasteleria Dantzari Sl,"INDUSTRIA DE BOLLERIA, PASTELERIA Y GALLETAS, COMERCIO AL POR MENOR DE PAN, PASTELERIA Y SIMILARES Y DE LECHE Y PRODUCTOS LACTEOS.","CALLE DUQUE DE WELLINGTON , 16 - BJ MANO DR",VITORIA-GASTEIZ,94506...,,,Sociedad limitada unipersonal,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,492.078,39.376,"ARTEFEDRA, S.L.",pequeña,https://ranking-empresas.eleconomista.es/ARTEFEDRA.html,"Artefedra, S.l.","La sociedad tendrá por objeto la industria de bollería, pastelería y galletas; comercio al por menor de pan, pastelería y similares, de leche y productos lácteos","CALLE LOS ISUNZA , 13 - BJ",VITORIA-GASTEIZ,,,,Sociedad limitada unipersonal,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,492.775,72.499,"ALIMENTACION MORENO, SOCIEDAD LIMITADA.",pequeña,https://ranking-empresas.eleconomista.es/ALIMENTACION-MORENO.html,"Alimentacion Moreno, Sociedad Limitada.","El comercio al por menor de pan, pastelería, confitería y similares, leche y productos lácteos y, en general, de cualquier clase de productos alimenticios y de bebidas","CALLE CUADRILLA DE VITORIA-GASTEIZ , 14 - BJ",VITORIA-GASTEIZ,,,,Sociedad limitada unipersonal,,,,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4724,495.123,35.367,"BASQUE STREET FOOD, S.L.",pequeña,https://ranking-empresas.eleconomista.es/BASQUE-STREET-FOOD.html,"Basque Street Food, S.l.","Comercio al por menor de productos de alimentación; elaboración de productos de panadería, bollería, repostería; venta ambulante de los productos elaborados; organización promoción de eventos, conciertos y festivales","CALLE POSTAS , 26 - B",VITORIA-GASTEIZ,,,,Sociedad limitada,,,MAKEA,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados"
4725,135.336,(ND),"JUDIZMENDI MARKET, S.L.",mediana,https://ranking-empresas.eleconomista.es/JUDIZMENDI-MARKET.html,"Judizmendi Market, S.l.","Comercio al por menor de toda clase de bebidas y productos alimeticios, de todo tipo de artículos de consumo en régimen de autoservicio o mixto","AVENIDA JUDIMENDI , 8 - BJ",VITORIA-GASTEIZ,,,,Sociedad limitada,,,,Comercio al por menor de bebidas en establecimientos especializados
4725,178.375,3.8,VINOS ALAVA SA,mediana,https://ranking-empresas.eleconomista.es/VINOS-ALAVA.html,Vinos Alava Sa,Distribución de vinos.,"POLIGONO INDUSTRIAL ALDAYTURRIAGA , 12 - A 16 PABELLON",AMURRIO,94589...,,,Sociedad anónima,www.vinosalava.com,,,Comercio al por menor de bebidas en establecimientos especializados
4725,343.437,30.184,SERVEN SERVICIOS INTEGRALES DE VENDING SL,pequeña,https://ranking-empresas.eleconomista.es/SERVEN-SERVICIOS-INTEGRALES-VENDING.html,Serven Servicios Integrales De Vending Sl,"EL SUMINISTRO DE PRODUCTOS ALIMENTICIOS Y BEBIDAS, EXCLUIDO EL TABACO, A TRAVES DE MAQUINAS EXPENDEDORAS","CALLE UZBINA , 24 - PAB F 1",VITORIA-GASTEIZ,94506...,,,Sociedad limitada,,,,Comercio al por menor de bebidas en establecimientos especializados
4729,12.777,2.886,CORPORACION OVO 12 S. COOP.,grande,https://ranking-empresas.eleconomista.es/CORPORACION-OVO-12.html,Corporacion Ovo 12 S. Coop.,,"AVENIDA DE LOS OLMOS , 1 - OF 101 CUERPO EDIFICACION D-1 EDIF COMPLEJO",VITORIA-GASTEIZ,,,,Sociedad cooperativa,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,48.487,6.203,BIOMAFER SL.,grande,https://ranking-empresas.eleconomista.es/BIOMAFER.html,Biomafer Sl.,Distribución al por mayor de productos alimenticios de dietética,"CALLE VENTA DE ANTEPARDO , 11",LANTARON,94533...,,,Sociedad limitada,www.centrodietetico.es,,"5 marcas, entre ellas: QUMAVITAL HEPAT, COLEST NEO...",Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,53.025,14.444,HIPARVI SOCIEDAD LIMITADA.,grande,https://ranking-empresas.eleconomista.es/HIPARVI.html,Hiparvi Sociedad Limitada.,Explotación de dos supermercados franquiciados de la cadena Eroski,"CALLE DONOSTIA SAN SEBASTIAN , 17 - PISO 3 A",VITORIA-GASTEIZ,94535...,,,Sociedad limitada unipersonal,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,55.226,14.144,MEGA ELIKADURA S.L.,grande,https://ranking-empresas.eleconomista.es/MEGA-ELIKADURA.html,Mega Elikadura S.l.,Comercio al por menor de productos alimenticios y bebidas de todo tipo,"CALLE BAIONA , 6",VITORIA-GASTEIZ,94530...,,,Sociedad limitada,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,89.096,21.532,YAIMAR 2012 SOCIEDAD LIMITADA.,mediana,https://ranking-empresas.eleconomista.es/YAIMAR-2012.html,Yaimar 2012 Sociedad Limitada.,Explotacion de supermercado.,"CALLE EL CRISTO , 102",VITORIA-GASTEIZ,94517...,,,Sociedad limitada,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,134.954,27.332,LAVIN SANTAMARIA SA,mediana,https://ranking-empresas.eleconomista.es/LAVIN-SANTAMARIA.html,Lavin Santamaria Sa,Expertos en catering experiencias gastronómicas enoturísticas,"CALLE PEDRO DE ASUA , 35",VITORIA-GASTEIZ,609.....,,,Sociedad anónima,www.villa-lucia.com,,"21 marcas, entre ellas: VINFOS, LA PELICULA DEL VINO...",Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,146.269,46.224,TIERRA VIVA NORTE SOCIEDAD LIMITADA.,mediana,https://ranking-empresas.eleconomista.es/TIERRA-VIVA-NORTE.html,Tierra Viva Norte Sociedad Limitada.,Comercio al por menor de productos dietéticos y ecológicos.,"CALLE PORTAL DEL REY (BA JO) , 6",VITORIA-GASTEIZ,94527...,,,Sociedad limitada,www.tierra-viva.es,,TIERRA VIVA,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,180.762,3.835,"MARI KUZIA, SOCIEDAD LIMITADA.",mediana,https://ranking-empresas.eleconomista.es/MARI-KUZIA.html,"Mari Kuzia, Sociedad Limitada.",La Sociedad tendrá como objeto: la compraventa de toda clase de productos de alimentación. La preparación y compraventa de comida elaborada. La comercialización de toda clase de productos y utensilios y maquinaria relacionados con la alimentación. El asesoramiento a empresas del sector de la aliment,"PASEO LA CRUZ ROJA , 6 - BJ 1",VITORIA-GASTEIZ,660.....,,,Sociedad limitada,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,227.402,(ND),"HAO LIN JU FOODS, SOCIEDAD LIMITADA.",pequeña,https://ranking-empresas.eleconomista.es/HAO-LIN-JU-FOODS.html,"Hao Lin Ju Foods, Sociedad Limitada.","Comercio al por menor de toda clase de artículos, bazar. Comercio al por menor de cualquier clase de productos alimenticios y bebidas. Comercio al por menor de material y aparatos eléctricos y electrónicos y reparación de los mismos","CALLE FRANCIA , 20 - BJ",VITORIA-GASTEIZ,657.....,,,Sociedad limitada,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,233.233,18.708,"XU JUN YE, SL.",pequeña,https://ranking-empresas.eleconomista.es/XU-JUN-YE.html,"Xu Jun Ye, Sl.","La compraventa de todo tipo de productos de alimentación, bebidas y menaje del hogar o de hosteleria. La compraventa de comida precocinada","CALLE LA FLORIDA , 17 - BJ",VITORIA-GASTEIZ,653.....,,,Sociedad limitada unipersonal,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,281.14,138.063,DURANA LOPEZ EXPRESS S.L.,pequeña,https://ranking-empresas.eleconomista.es/DURANA-LOPEZ-EXPRESS.html,Durana Lopez Express S.l.,"Comercio al por menor de productos alimenticios y bebidas, jabones y artículos de limpieza para el hogar, perfumería y cosmética, etc","CALLE CABALLO DE PICA , 6 - BJ",VITORIA-GASTEIZ,,,,Sociedad limitada unipersonal,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,285.483,34.387,LAUDIO SOINU S.L.,pequeña,https://ranking-empresas.eleconomista.es/LAUDIO-SOINU.html,Laudio Soinu S.l.,ALQUILER Y VENTA DE PELICULAS DE VIDEO Y DVD; VENTA AL POR MENOR DE REFRESCOS Y PRODUCTOS ALIMENTICIOS; LA VENTA A POR MENOR DE APARADOS ELECTRONICOS,"AVENIDA ZUMALAKARREGI , 44 - B",LAUDIO/LLODIO,610.....,,,Sociedad limitada,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,332.713,22.641,CORRE 34 S.L.,pequeña,https://ranking-empresas.eleconomista.es/CORRE-34.html,Corre 34 S.l.,"Comercio al por menor de todo tipo de pasta fresca, masas y condimentos para la misma. Comercio al por menor de alimentacion y bebidas de todo tipo, tanto alcoholicas como sin alcohol. Servicios de hosteleria y manutencion.","CALLE JESUS GURIDI , 1 - A B 02",VITORIA-GASTEIZ,688.....,,,Sociedad limitada,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,351.056,64.575,AUTOSERVICIO LATEORRO SL,pequeña,https://ranking-empresas.eleconomista.es/AUTOSERVICIO-LATEORRO.html,Autoservicio Lateorro Sl,"CONSERVAS Y, PRODUCTOS ALIMENTICIOS DE TODAS CLASES, BEBIDAS, ARTICULOS DE LIMPIEZA E HIGIENE, ARTICULOS DE FERRETERIA Y DROGUERIA, EN REGIMEN DE AUTOSERVICIO.","CALLE ARANTZAR , 7 - B",LAUDIO/LLODIO,94672...,,,Sociedad limitada,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,371.215,3.369,GASTEIZKOPIZZA SOCIEDAD LIMITADA.,pequeña,https://ranking-empresas.eleconomista.es/GASTEIZKOPIZZA.html,Gasteizkopizza Sociedad Limitada.,Explotación de negocios de hostelería; explotación en régimen de franquicia de negocios de hostelería; explotación de negocios de alimentación; comercialización de productos para la hotelería; comercialización de productos para la alimentación,"PLAZA VIRGEN BLANCA , 4 - B",VITORIA-GASTEIZ,94520...,,,Sociedad limitada,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,393.822,30.484,ARTESANOS SORTE ONA SL.,pequeña,https://ranking-empresas.eleconomista.es/ARTESANOS-SORTE-ONA.html,Artesanos Sorte Ona Sl.,"1. ACTIVIDADES PERTENECIENTES AL GRUPO 644. COMERCIO AL POR MENOR DE PAN, PASTELERIA, CONFITERIA Y SIMILARES Y DE LECHE Y PRODUCTOS LACTEOS: -Epígrafe 644.1. Comercio al por menor de pan, pastelería, confitería y similares y de leche y productos lácteos. -Epígrafe 644.2. Despachos de pan,","CALLE POSTAS , 33 - BJ DR",VITORIA-GASTEIZ,656.....,,,Sociedad limitada,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4729,448.268,14.897,"REPRESENTACIONES DIETETICAS OSINAGA, S.L.",pequeña,https://ranking-empresas.eleconomista.es/REPRESENTACIONES-DIETETICAS-OSINAGA.html,"Representaciones Dieteticas Osinaga, S.l.",La sociedad tendrá por objeto la comercialización de productos dietéticos naturales de herbolario y parafarmacia,"BARRIO ARRIETA , 22",IRURAIZ-GAUNA,650.....,,,Sociedad limitada,,,,Otro comercio al por menor de productos alimenticios en establecimientos especializados
4730,661,30,ARRAIA-OIL SL,320.320.000,https://ranking-empresas.eleconomista.es/ARRAIA-OIL.html,Arraia-oil Sl,"La construcción, compraventa y arrendamiento de Estaciones de Servicio; transporte, distribución y compraventa de carburantes y lubricantes. El desarrollo de la actividad de hostelería, incluyendo la explotación de bares, hoteles y restaurantes. Prestación de cauciones ante el Ministerio de Foment.","CALLE ALBENIZ - PG IND SAN ROMAN DE SAN MILLAN , - PARC. 6",ASPARRENA,945314750,945410245,945410245,Sociedad limitada unipersonal,www.ads.arraia-oil.com,www.arraia-oil.com,ADS DIESEL SERVICE,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,14.633,880,"GASOCENTRO VITORIA, SA",grande,https://ranking-empresas.eleconomista.es/GASOCENTRO-VITORIA.html,"Gasocentro Vitoria, Sa",Estaciones de servicios y gasolineras.,"CALLE MENDIGORRITXU , 50",VITORIA-GASTEIZ,94529...,,94529...,Sociedad anónima,www.n1jundiz.com,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,29.48,8.53,ESTACIONES DE SERVICIO ONAINDIA SL,grande,https://ranking-empresas.eleconomista.es/ESTACIONES-SERVICIO-ONAINDIA.html,Estaciones De Servicio Onaindia Sl,"Estacion de servicio , boxes de lavado y servicio de tienda","CALLE PORTAL DE ARRIAGA , S/N",VITORIA-GASTEIZ,94526...,,,Sociedad limitada,www.onaindia.com,,ONAINDIA ESTACIONES DE SERVICIO,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,40.752,1.216,ADOS ESTACIONES DE SERVICIO SL,grande,https://ranking-empresas.eleconomista.es/ADOS-ESTACIONES-SERVICIO.html,Ados Estaciones De Servicio Sl,Explotación y gestión de estación de servicio y servicio de tienda.,"CALLE BARCELONA , 36",VITORIA-GASTEIZ,94537...,,,Sociedad limitada,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,45.624,661,ESTACION DE SERVICIO FORONDA SL,grande,https://ranking-empresas.eleconomista.es/ESTACION-SERVICIO-FORONDA.html,Estacion De Servicio Foronda Sl,Explotación de Estación Servicio.,"CALLE GENERAL ALAVA , 22 - 3 PRTA IZ",VITORIA-GASTEIZ,94527...,,,Sociedad limitada,www.aviaforonda.es,,ESTACION DE SERVICIO FORONDA,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,55.762,7.081,SUMINISTROS ZANKUETA S.L.,grande,https://ranking-empresas.eleconomista.es/SUMINISTROS-ZANKUETA.html,Suministros Zankueta S.l.,Explotación de estación de servicio con tienda y servicio de lavado.,"POLIGONO INDUSTRIAL ZANKUETA , 5",AMURRIO,94589...,,,Sociedad limitada,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,58.633,31.917,W.A.G. PAYMENT SOLUTIONS SPAIN SL.,grande,https://ranking-empresas.eleconomista.es/WAG-PAYMENT-SOLUTIONS-SPAIN.html,W.a.g. Payment Solutions Spain Sl.,"Fabricación, transporte, distribución compraventa, importación, procesamiento y almacenamiento de combustibles, carburantes y lubricantes, tanto al por mayor como al por menor. Manipulación de vertidos contaminantes CNAE 4730. Comercio al por menor de combustible para la automoción en establecimient.","CALLE ALBENIZ , POL. INDUSTRIAL ASPARRENA, SAN R , 6",SAN MILLAN/DONEMILIAGA,,,,Sociedad limitada unipersonal,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,58.724,1.862,PETROZUIA SOCIEDAD LIMITADA,grande,https://ranking-empresas.eleconomista.es/PETROZUIA.html,Petrozuia Sociedad Limitada,"La explotación de gasolineras; venta de productos para el mantenimiento de vehiculos, refrescos, alimentos, limpieza de vehículos, etc","CALLE BARCELONA , 36",VITORIA-GASTEIZ,94504...,,,Sociedad limitada unipersonal,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,65,495,ESTACION DE SERVICIO ARTZINIEGA SOCIEDAD LIMITADA.,mediana,https://ranking-empresas.eleconomista.es/ESTACION-SERVICIO-ARTZINIEGA.html,Estacion De Servicio Artziniega Sociedad Limitada.,Explotación de estación de servicio con tienda y túnel de lavado.,"AVENIDA GARAI (SEDA) , 23",ARTZINIEGA,94539...,,94539...,Sociedad limitada,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,66.875,2.295,ESTACION DE SERVICIO URITIASOLO SL,mediana,https://ranking-empresas.eleconomista.es/ESTACION-SERVICIO-URITIASOLO.html,Estacion De Servicio Uritiasolo Sl,Gestión y explotación de estación de servicio.,"CALLE INDUSTRIAL URITIASOLO , 215 - VENTA E 3 PARC",VITORIA-GASTEIZ,656.....,,,Sociedad limitada,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,68.463,9.244,SUMINISTRO DE CARBURANTES ADOS SOCIEDAD LIMITADA.,mediana,https://ranking-empresas.eleconomista.es/SUMINISTRO-CARBURANTES-ADOS.html,Suministro De Carburantes Ados Sociedad Limitada.,Explotación de gasolinera.,"CALLE BARCELONA , 36 - BJ LOC 1",VITORIA-GASTEIZ,94504...,,,Sociedad limitada unipersonal,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,80.741,7.709,LA PILASTRA SL,mediana,https://ranking-empresas.eleconomista.es/PILASTRA.html,La Pilastra Sl,Estación de servicio con tienda.,LUGAR ESTACION S/N,KUARTANGO,94447...,,,Sociedad limitada,www.euskaloil.com,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,87.837,30.324,ORHELA INVERSION SL,mediana,https://ranking-empresas.eleconomista.es/ORHELA-INVERSION.html,Orhela Inversion Sl,PROMOCION INMOBILIARIA. CONSTRUCCION EN GENERAL.,POLIGONO INDUSTRIAL LITUTXIPI,AGURAIN/SALVATIERRA,692.....,,,Sociedad limitada,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,88.676,850,CARBURANTES AZACETA SL,mediana,https://ranking-empresas.eleconomista.es/CARBURANTES-AZACETA.html,Carburantes Azaceta Sl,Venta de gasóleo a domicilio,CARRETERA VITORIA-ESTELLA (MAEZTU) (KM 23),ARRAIA-MAEZTU,94541...,,,Sociedad limitada,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,95.328,27.741,ESTACION DE SERVICIO ZURBANO SL,mediana,https://ranking-empresas.eleconomista.es/ESTACION-SERVICIO-ZURBANO.html,Estacion De Servicio Zurbano Sl,Estación de servicio con tienda,"CALLE GENERAL ALAVA , 22 - 3 PRTA IZ",VITORIA-GASTEIZ,94527...,,,Sociedad limitada,www.aviaforonda.es,,ESTACION DE SERVICIO ZURBANO,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,113.746,20.181,"CARBURANTES ADOS XXI, SOCIEDAD LIMITADA.",mediana,https://ranking-empresas.eleconomista.es/CARBURANTES-ADOS-XXI.html,"Carburantes Ados Xxi, Sociedad Limitada.",Gestión de estación de servicio con túnel de lavado y tienda,"CALLE BARCELONA , 36 - BJ",VITORIA-GASTEIZ,94504...,,,Sociedad limitada,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,126.662,3.889,BORRAZ SL.,mediana,https://ranking-empresas.eleconomista.es/BORRAZ.html,Borraz Sl.,Comercio al por menor de combustible para la automoción en establecimientos especializados.,"CAMINO GASTEIZ , 59",ALEGRIA-DULANTZI,94540...,,,Sociedad limitada,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,126.747,5.588,ESTACION DE SERVICIO VIRGALA SL,mediana,https://ranking-empresas.eleconomista.es/ESTACION-SERVICIO-VIRGALA.html,Estacion De Servicio Virgala Sl,Gestión y explotación de una estación de servicio.,"CARRETERA VITORIA-ESTELLA (VIRGALA MAYOR) , KM 23",ARRAIA-MAEZTU,94541...,,,Sociedad limitada,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,128.189,50,ESTACION DE SERVICIO ALIBARRA SL,mediana,https://ranking-empresas.eleconomista.es/ESTACION-SERVICIO-ALIBARRA.html,Estacion De Servicio Alibarra Sl,Explotación de estación de servicios,"CALLE ALIBARRA , 34 - B",VITORIA-GASTEIZ,94524...,,94522...,Sociedad limitada,,,ESTACION DE SERVICIO ALIBARRA,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,149.715,452,"SOCIEDAD DE CONSUMO ARRODI, SA",mediana,https://ranking-empresas.eleconomista.es/CONSUMO-ARRODI.html,"Sociedad De Consumo Arrodi, Sa",Venta de carburante a socios de la empresa.,"CALLE BARRATXI , 6",VITORIA-GASTEIZ,94525...,,94525...,Sociedad anónima,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,160.884,48.064,AUTO-ESTACION BARAZAR SA,mediana,https://ranking-empresas.eleconomista.es/AUTO-ESTACION-BARAZAR.html,Auto-estacion Barazar Sa,"LA PROMOCION Y EXPLOTACION INMOBILIARIA ASI COMO EL ESTUDIO, SELECCION Y ACTUACIONES TECNICAS ADECUADAS PARA EL CONTROL DE LOS IMPACTOS AMBIENTALES DE LOS PROCESOS INDUSTRIALES.","CALLE ARRIURDINA , 19 - POL INDUSTRIAL",VITORIA-GASTEIZ,94526...,,,Sociedad anónima,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,166.513,(ND),"DALETOIL, S.L.",mediana,https://ranking-empresas.eleconomista.es/DALETOIL.html,"Daletoil, S.l.",#NAME?,"POLIGONO INDUSTRIAL AGURAIN , PAR RESULTANT",AGURAIN/SALVATIERRA,,,,Sociedad limitada,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
4730,291.141,39.447,"ESTACION DE SERVICIO ECHEVARRIA VITORIA, SOCIEDAD LIMITADA",pequeña,https://ranking-empresas.eleconomista.es/ESTACION-SERVICIO-ECHEVARRIA-VITORIA.html,"Estacion De Servicio Echevarria Vitoria, Sociedad Limitada","Explotación de estación de servicio, venta de carburantes, aceites y productos complementarios de dicha actividad, así como guardería de vehículos y almacén de maquinaria y repuestos. CNAE-473","CALLE PORTAL DE CASTILLA , 30 - BAJO",VITORIA-GASTEIZ,94522...,,,Sociedad limitada unipersonal,,,,Comercio al por menor de combustible para la automoción en establecimientos especializados
