category,national_position,position_evolution,company_name,billing,company_link,Denominación,Objeto Social,Domicilio Social,Localidad,Teléfono,Otros Teléfonos,Fax,Forma Jurídica,Página Web,Otras Webs,Marcas,Actividad
150,272.438,78.779,PAM COURELA SOCIEDAD LIMITADA.,pequeña,https://ranking-empresas.eleconomista.es/PAM-COURELA.html,Pam Courela Sociedad Limitada.,"PRODUCCION, COMERCIALIZACION, ELABORACION, ALMACENAMIENTO, CONSERVACION, MANIPULACION Y DISTRIBUCION DE PRODUCTOS AGRICOLAS Y GANADEROS. LAS EXPLOTACIONES AGRICOLA GANADERAS Y PECUARIAS. LA COMERCIALIZACION DE SEMILLAS P","CALLE MAYOR (LAGUARDIA) , 44",LAGUARDIA,,,,Sociedad limitada,,,"DON PATRICIO CARBAJO FERIA, SUTIL DE LERA",Producción agrícola combinada con la producción ganadera
150,463.938,(ND),"OLETA BASERRIA, S.L.",pequeña,https://ranking-empresas.eleconomista.es/OLETA-BASERRIA.html,"Oleta Baserria, S.l.",Producción agraria combinada con producción ganadera,"CAMINO OLETA , 7",LAUDIO/LLODIO,607.....,,,Sociedad limitada,www.oletabaserria.info,,,Producción agrícola combinada con la producción ganadera
150,465.924,(ND),"NATURA GESTION AMBIENTAL, S.L.",pequeña,https://ranking-empresas.eleconomista.es/NATURA-GESTION-AMBIENTAL.html,"Natura Gestion Ambiental, S.l.","1º Recuperación de espacios ambientales: Ejecución de obras ambientales, paisajísticas, agroganaderas y forestales. Realización de proyectos ambientales, paisajísticos, agroganaderas y forestales. Señalización y vallado de viales, caminos, parques, zonas verdes y de esparcimiento. Revegetaciones, p","BARRIO MENDIVIL (ARRAZUA-UBARRUNDIA) , PARC. 1295",ARRATZUA-UBARRUNDIA,656.....,,,Sociedad limitada,,,,Producción agrícola combinada con la producción ganadera
161,188.427,10.842,"AGROPECUARIA ALAVESA, SOCIEDAD LIMITADA.",mediana,https://ranking-empresas.eleconomista.es/AGROPECUARIA-ALAVESA.html,"Agropecuaria Alavesa, Sociedad Limitada.","ACTIVIDADES DE APOYO A LA AGRICULTURA, ASI COMO LA COMPRAVENTA Y ARRENDAMINETOS DE FINCAS RUSTICAS Y EXPLOTACIONES AGRARIAS","AVENIDA LANGRAIZ , 63 - BAJO",IRUÑA OKA/IRUÑA DE OCA,,,,Sociedad limitada,,,,Actividades de apoyo a la agricultura
161,303.154,10.556,LARRINUAK SL.,pequeña,https://ranking-empresas.eleconomista.es/LARRINUAK.html,Larrinuak Sl.,PRESTACION DE SERVICIOS DE EJECUCION DE TODO TIPO DE TRABAJOS AGRICOLAS Y DE SUS AUXILIARES RELACIONADOS CON LOS MISMOS,"CALLE MURRIARTE , 2",SAMANIEGO,,,,Sociedad limitada,,,,Actividades de apoyo a la agricultura
161,366.505,55.748,AGRO EXCAVACIONES PERMENDI SL,pequeña,https://ranking-empresas.eleconomista.es/AGRO-EXCAVACIONES-PERMENDI.html,Agro Excavaciones Permendi Sl,"OBTENCION DE MOSTOS, ELABORACION, EMBOTELLADO, CRIANZA Y COMERCIO DE MISTELAS, VINOS, MOVIMIENTOS DE TIERRAS; COMERCIO DE INMUEBLES.","AVENIDA DE LA RIOJA , 1 - BIS",LABASTIDA/BASTIDA,,,,Sociedad limitada,,,,Actividades de apoyo a la agricultura
162,460.033,(ND),JOYKER 2013 SOCIEDAD LIMITADA.,pequeña,https://ranking-empresas.eleconomista.es/JOYKER-2013.html,Joyker 2013 Sociedad Limitada.,"La prestación de servicios a la agricultura y ganadería con o sin maquinaria, servicios tales como servicios de producción de cultivos y ganado, preparación de la tierra, poda riego, aplicación de productos fitosanitarios, servicios de recolección y preparación de cosechas, servicios de plantación y","CALLE SOMILLO , 45 - BJ",ELVILLAR/BILAR,,,,Sociedad limitada,,,,Actividades de apoyo a la ganadería
210,151.151,17.22,FORESTALES UGARRIZA SA,mediana,https://ranking-empresas.eleconomista.es/FORESTALES-UGARRIZA.html,Forestales Ugarriza Sa,,"CALLE LANDALUZE , 22",LAUDIO/LLODIO,94672...,,,Sociedad anónima,,,,Silvicultura y otras actividades forestales
210,214.827,13.359,"LAM MEDIOAMBIENTE, SOCIEDAD LIMITADA.",pequeña,https://ranking-empresas.eleconomista.es/LAM-MEDIOAMBIENTE.html,"Lam Medioambiente, Sociedad Limitada.","Obras y servicios forestales, restauración medioambiente selvicultura urbana y jardinería, tales como hidrosiembras, siembras, plantaciones, forestación, desbroces, talas, defensa contra incendios y plagas, vigilancia medioambiental, conservación de montes y jardines, servicios de protección de espe","CALLE OLAGUIBEL , 54 - PISO 2 DR",VITORIA-GASTEIZ,627.....,,,Sociedad limitada unipersonal,www.lammedioambiente.com,,,Silvicultura y otras actividades forestales
210,260.848,30.15,EXPLOTACIONES FORESTALES JIMENEZ ARABA SL,pequeña,https://ranking-empresas.eleconomista.es/EXPLOTACIONES-FORESTALES-JIMENEZ-ARABA.html,Explotaciones Forestales Jimenez Araba Sl,"Selvicultura y explotación forestal: cierres y plantaciones, limpiezas de montes y retenes de incendios.","CALLE DOMINGO BELTRAN DE OTAZU , 23 - 3º IZQUIERDA",VITORIA-GASTEIZ,608.....,,,Sociedad limitada,,,,Silvicultura y otras actividades forestales
210,265.727,73.265,OROZKO MENDIAK SOCIEDAD LIMITADA.,pequeña,https://ranking-empresas.eleconomista.es/OROZKO-MENDIAK.html,Orozko Mendiak Sociedad Limitada.,,"CALLE RESTERGO , 9 - PISO 2 A",AYALA/AIARA,,,,Sociedad limitada,,,,Silvicultura y otras actividades forestales
210,327.375,74.733,BEREIN SERVICIOS INTEGRALES SOCIEDAD LIMITADA.,pequeña,https://ranking-empresas.eleconomista.es/BEREIN-SERVICIOS-INTEGRALES.html,Berein Servicios Integrales Sociedad Limitada.,"a) Construcción completa, reparación y conservación de edificaciones y obras civiles, la promoción y comercialización de estos. b) Albañilería y pequeños trabajos de construcción en general. c) Instalaciones de fontanería y de sistemas de conducción, distribución y evacuación de agua fría y caliente","BARRIO ALKARANA (HEREDIA BARRUND) , 8 - BJ",BARRUNDIA,,,,Sociedad limitada,,,,Silvicultura y otras actividades forestales
210,402.42,90.441,BARAMBIO FORESTALES SL,pequeña,https://ranking-empresas.eleconomista.es/BARAMBIO-FORESTALES.html,Barambio Forestales Sl,SERVICIOS FORESTALES.,"CARRETERA A - 68 (BARAMBIO) , 24",AMURRIO,639.....,,,Sociedad limitada,,,,Silvicultura y otras actividades forestales
220,29.948,4.294,"CASAS Y TRANSFORMADOS DE LA MADERA, S.L.",6.699.161,https://ranking-empresas.eleconomista.es/CASAS-TRANSFORMADOS-MADERA.html,"Casas Y Transformados De La Madera, S.l.",Comercialización de casas de madera y productos relacionados con el sector de la jardinería.,"CALLE VITORIABIDEA , 15 - B",VITORIA-GASTEIZ,945225380,945225200,945225200,Sociedad limitada,www.hobycasa.com,,CASAS DE MADERA HOBYCASA,Explotación de la madera
220,88.461,8.371,MADERAS GAMIZ SA,mediana,https://ranking-empresas.eleconomista.es/MADERAS-GAMIZ.html,Maderas Gamiz Sa,Aserradero y preparación de la madera.,"CARRETERA VITORIA-ESTELLA , 2",CAMPEZO/KANPEZU,94540...,,94541...,Sociedad anónima,www.grupogamiz.com,,"9 marcas, entre ellas: G GRUPO GÁMIZ, ALIGAM...",Explotación de la madera
220,302.205,13.475,URBION MENDI S.L.,pequeña,https://ranking-empresas.eleconomista.es/URBION-MENDI.html,Urbion Mendi S.l.,EXPLOTACION FORESTAL Y COMPRA VENTA DE MADERA,"CALLE LANDAKO , 30 - PISO 2 B",AMURRIO,94589...,,,Sociedad limitada,,,,Explotación de la madera
240,292.508,8.495,RAFAEL LEON JIMENEZ SL,pequeña,https://ranking-empresas.eleconomista.es/RAFAEL-LEON-JIMENEZ.html,Rafael Leon Jimenez Sl,"EXPLOTACION Y CULTIVO DE FINCAS RUSTICAS Y ACTIVIDADES RELACIONADAS CON VIVEROS DE PLANTAS Y SEMILLAS. MANTENIMIENTO DE PARQUES Y JARDINES, COMERCIO DE MAQUINARIA DE JARDINERIA.","BARRIO ESTACION (DURANA) , 46",ARRATZUA-UBARRUNDIA,649.....,,,Sociedad limitada,,,,Servicios de apoyo a la silvicultura
312,302.004,50.753,PISCIFACTORIA NUESTRA SEÑORA DE IBERNALO SL,336.12,https://ranking-empresas.eleconomista.es/PISCIFACTORIA-NUESTRA-SENORA-IBERNALO.html,Piscifactoria Nuestra Señora De Ibernalo Sl,PRODUCCION Y COMERCIALIZACION MAYOR Y MENOR DE SALMONIDOS,"CALLE EL EGIDO , S/N",CAMPEZO/KANPEZU,945415072,"945415075
945415091
945415041",945415091,Sociedad limitada,www.piscifactorianusi.com,,,Pesca en agua dulce
729,146.811,14.656,EXPLOTACION DE CANTERAS ALAVESAS SA,mediana,https://ranking-empresas.eleconomista.es/EXPLOTACION-CANTERAS-ALAVESAS.html,Explotacion De Canteras Alavesas Sa,"EXPLOTACION DE CANTERAS. MINAS Y SIMILARES, PARA LA EXTRACCION DE TODO TIPO DE MATERIALES, ASI COMO EL TRANSPORTE DE MERCANCIAS POR CARRETERA.","AVENIDA DE LOS OLMOS , 4",VITORIA-GASTEIZ,94525...,,,Sociedad anónima,,,,Extracción de otros minerales metálicos no férreos
811,424.242,51.841,CANTERA CALIZA ELEJALDE RIBACOBA SL,pequeña,https://ranking-empresas.eleconomista.es/CANTERA-CALIZA-ELEJALDE-RIBACOBA.html,Cantera Caliza Elejalde Ribacoba Sl,EXPLOTACION DE CANTERAS Y MINAS.,"CALLE RETES DE TUDELA , S/N",ARTZINIEGA,94539...,,94539...,Sociedad limitada,www.canteracalizaelejalde.com,,,"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra"
812,46.368,15.143,CARLOS SANTAMARIA SL,grande,https://ranking-empresas.eleconomista.es/CARLOS-SANTAMARIA.html,Carlos Santamaria Sl,"Extracción de áridos, excavación y hormigón","BARRIO EL CAMPILLAR , S/N - BJ",LAGUARDIA,94562...,,94562...,Sociedad limitada,,,H.R.A. HORMIGONES RIOJA ALAVESA CARLOS SANTAMARIA,Extracción de gravas y arenas; extracción de arcilla y caolín
893,24.848,3.398,SALINERA ANANA S.L.,8.371.470,https://ranking-empresas.eleconomista.es/SALINERA-ANANA.html,Salinera Anana S.l.,Empresa salinera.,"CARRETERA SALINAS ESPEJO (CR ESPEJO) , S/N",AÑANA,945351034,666...,,Sociedad limitada,www.salineravallesalado.com,,,Extracción de sal
1011,384.008,66.678,EMBUTIDOS SUSO SL,pequeña,https://ranking-empresas.eleconomista.es/EMBUTIDOS-SUSO.html,Embutidos Suso Sl,"LA PREPARACION DE CARNES CURADAS, SALADAS, EN SALMUERA Y AHUMADA DE ANIMALES, FABRICACION DE EMBUTIDOS, MORCILLAS, SALCHICHAS, ETC","POLIGONO INDUSTRIAL TELLAZAR , PAB 7",ARRAIA-MAEZTU,94541...,,94541...,Sociedad limitada,,,,Procesado y conservación de carne
